rcparte0.jpg#0	Vehículo B impacta a vehículo A en cruce.
rcparte120.jpg#2	Vehículo B cambiaba de carril en una curva y colisiona contra vehículo A.
rcparte121.jpg#0	Vehículo B venía por la izquierda en un cruce e impacta con vehículo A que giraba a la izquierda
rcparte121.jpg#1	En un cruce, vehículo A, que giraba a la izquierda, impacta con vehículo B que venía por la izquierda
rcparte121.jpg#2	En una interseccíon colisionan vehículo B y vehículo A que giraba a la izquierda
rcparte122.jpg#0	Vehículo A no respetó la señal de preferencia e impactó con vehículo B en un cruce
rcparte122.jpg#1	En un cruce vehículo B circulaba por su carril cuando vehículo A impactó al no respetar la señal de preferencia
rcparte122.jpg#2	Vehículo A no resepeta la señal de preferencia y colisiona con vehículo B en una intersección.
rcparte123.jpg#0	Vehículo B estaba estacionado cuando vehículo A intentaba estacionar e impactó con vehículo B
rcparte123.jpg#1	Vehículo A estaba estacionado y es impactado por vehículo B que iba a estacionar
rcparte123.jpg#2	En un estacionamiento, vehículo A estaba estacionado y es impactado por vehículo B que intentaba estacionar.
rcparte124.jpg#0	En una curva, vehículo B colisionó en la parte de atrás al vehículo A que circulaba en el mismo carril.
rcparte124.jpg#1	Mientras el vehículo A circulaba en su carril, vehículo B impactó por la parte trasera en una curva.
rcparte124.jpg#2	En una curva, vehículo A circulaba en la misma dirección que vehículo B, vehículo B impactó en la parte trasera de vehículo A.
rcparte125.jpg#0	Vehículo A estaba parado por señal de preferencia y es impactado por vehículo B
rcparte125.jpg#1	Vehículo B impacta a vehículo A cuando estaba parado por señal de preferencia.
rcparte125.jpg#2	Vehículo A estaba detenido por señal de preferencia cuando es impactado por vehículo B.
rcparte126.jpg#0   	Vehículo A giraba a la izquierda y vehículo B impacta mientras también giraba a la izquierda
rcparte126.jpg#1	Vehículo B impacta con vehículo A mientras ambos giraban a la izquierda
rcparte126.jpg#2	Vehículo A giraba a la izquierda y vehículo B colisiona mientras también giraba a la izquierda
rcparte127.jpg#0	Vehículo B daba marcha atrás e iba a estacionar y es impactado por vehículo A
rcparte127.jpg#1	Vehículo A impacta a vehículo B mientras este último daba marcha atrás e iba a estacionar
rcparte127.jpg#2	Vehículo A colisiona con vehículo B mientras daba marcha atrás e iba a estacionar
rcparte128.jpg#0	Vehículo B no respetó la señal de preferencia e impactó con vehículo A en un cruce
rcparte128.jpg#1	En un cruce vehículo A circulaba por su carril cuando vehículo B impactó al no respetar la señal de preferencia
rcparte128.jpg#2	Vehículo B no resepeta la señal de preferencia y colisiona con vehículo A en una intersección.
rcparte129.jpg#0	Vehículo B giraba a la izquierda e impacta con vehículo A en un cruce
rcparte129.jpg#1	Vehículo A es impactado por el vehículo A que giraba a la izquierda en una intersección
rcparte129.jpg#2	Vehículo B giraba a la izquierda y colisiona con vehículo A en un cruce
rcparte130.jpg#0	En un cruce vehículo A circulaba por su carril cuando vehículo B impactó al no respetar la señal de preferencia
rcparte130.jpg#1	Vehículo B no resepeta la señal de preferencia y colisiona con vehículo A en una intersección.
rcparte130.jpg#2	Vehículo B giraba a la izquierda e impacta con vehículo A en un cruce
rcparte131.jpg#0	Vehículo A estaba parado por señal de preferencia y es impactado por vehículo B
rcparte131.jpg#1	Vehículo B impacta a vehículo A cuando estaba parado por señal de preferencia.
rcparte131.jpg#2	Vehículo A estaba detenido por señal de preferencia cuando es impactado por vehículo B.
rcparte132.jpg#0	Vehículo B invadía la parte reservada a la circulación en sentido inverso e impacta con vehículo A
rcparte132.jpg#1	Vehículo A circulaba por su carril, cuando vehículo B invadió el carril contrario y colisionó con vehículo A
rcparte132.jpg#2	En una pista de doble vía, vehículo B invadía la parte reservada a la circulación en sentido inverso e impacta con vehículo A
rcparte133.jpg#0	Vehículo B cambiaba de carril e impacta contra vehículo A.
rcparte133.jpg#1	Vehículo B cambiaba de carril y colisionó con vehículo A. 
rcparte133.jpg#2	Vehículo A circulaba en el mismo sentido y en carril diferente cuando vehículo B impactó mientras cambiaba de carril
rcparte134.jpg#0	Mientras vehículo A circulaba por una plaza de sentido giratorio, vehículo B ingresaba a la plaza de sentido giratorio e impacta con vehículo A
rcparte134.jpg#1	Vehículo B ingresaba a una plaza de sentido giratorio e impactó a vehículo A que andaba por una plaza de sentido giratorio.
rcparte134.jpg#2	Vehículo B entraba a una plaza de sentido giratorio e impactó a vehículo A que circulaba por una plaza de sentido giratorio.
rcparte135.jpg#0	Mientras vehículo A circulaba por una plaza de sentido giratorio, vehículo B ingresaba a la plaza de sentido giratorio e impacta con vehículo A
rcparte135.jpg#1	Vehículo B ingresaba a una plaza de sentido giratorio e impactó a vehículo A que andaba por una plaza de sentido giratorio.
rcparte135.jpg#2	Vehículo B entraba a una plaza de sentido giratorio e impactó a vehículo A que circulaba por una plaza de sentido giratorio.
rcparte136.jpg#0	Mientras vehículo A circulaba por una plaza de sentido giratorio, vehículo B ingresaba a la plaza de sentido giratorio e impacta con vehículo A
rcparte136.jpg#1	Vehículo B ingresaba a una plaza de sentido giratorio e impactó a vehículo A que andaba por una plaza de sentido giratorio.
rcparte136.jpg#2	Vehículo B entraba a una plaza de sentido giratorio e impactó a vehículo A que circulaba por una plaza de sentido giratorio.
rcparte137.jpg#0	Vehículo B salía de un estacionamiento e impactó con vehículo A que circulaba por su carril
rcparte137.jpg#1	Vehículo A circulaba por el lado derecho del carril y fue impactado por vehículo B que salía de estacionamiento 
rcparte137.jpg#2	Vehículo B cambiaba de carril al salir de estacionamiento e impactó con vehículo A
rcparte138.jpg#0	Vehículo B salía de un estacionamiento e impactó con vehículo A que circulaba por su carril
rcparte138.jpg#1	Vehículo A circulaba por el lado derecho del carril y fue impactado por vehículo B que salía de estacionamiento 
rcparte138.jpg#2	Vehículo B cambiaba de carril al salir de estacionamiento e impactó con vehículo A
rcparte139.jpg#0	Vehículo A invadía la parte reservada a la circulación en sentido inverso e impacta con vehículo B
rcparte139.jpg#1	Vehículo B circulaba por su carril, cuando vehículo A invadió el carril contrario y colisionó con vehículo B
rcparte139.jpg#2	En una pista de doble vía, vehículo A invadía la parte reservada a la circulación en sentido inverso e impacta con vehículo B
rcparte140.jpg#0	Vehículo A estaba estacionado cuando vehículo B intentaba estacionar e impactó con vehículo A
rcparte140.jpg#1	Vehículo A estaba estacionado y es impactado por vehículo B que iba a estacionar
rcparte140.jpg#2	En un estacionamiento, vehículo A estaba estacionado y es impactado por vehículo B que intentaba estacionar.
rcparte141.jpg#0	Vehículo B giraba a la izquierda e impacta con vehículo A en un cruce
rcparte141.jpg#1	Vehículo A es impactado por el vehículo A que giraba a la izquierda en una intersección
rcparte141.jpg#2	Vehículo B giraba a la izquierda y colisiona con vehículo A en un cruce
rcparte142.jpg#0	Vehículo A y vehículo B circulaban por una plaza de sentido giratorio e impactan
rcparte142.jpg#1	Vehículo A y vehículo B impactan por una plaza de sentido giratorio
rcparte142.jpg#2	Colisión de vehículo A y vehículo B en una plaza de sentido giratorio
rcparte143.jpg#0	Mientras vehículo B circulaba por una plaza de sentido giratorio, vehículo A ingresaba a la plaza de sentido giratorio e impacta con vehículo B
rcparte143.jpg#1	Vehículo A ingresaba a una plaza de sentido giratorio e impactó a vehículo B que andaba por una plaza de sentido giratorio.
rcparte143.jpg#2	Vehículo A entraba a una plaza de sentido giratorio e impactó a vehículo B que circulaba por una plaza de sentido giratorio.
rcparte144.jpg#0	Vehículo B estaba parado y es impactado por vehículo A.
rcparte144.jpg#1	Vehículo A impacta a vehículo B cuando estaba parado.
rcparte144.jpg#2	Vehículo B estaba estacionado cuando es impactado por vehículo A.
rcparte145.jpg#0	Vehículo A salía de un estacionamiento e impactó con vehículo B
rcparte145.jpg#1	Vehículo B circulaba por el lado derecho del carril y fue impactado por vehículo A que salía de estacionamiento 
rcparte145.jpg#2	Vehículo A salía de un estacionamiento y colisionó con vehículo B
rcparte146.jpg#0	Vehículo B estaba estacionado cuando vehículo A intentaba estacionar e impactó con vehículo B
rcparte146.jpg#1	Vehículo B estaba estacionado y es impactado por vehículo A que iba a estacionar
rcparte146.jpg#2	En un estacionamiento, vehículo B estaba estacionado y es impactado por vehículo A que intentaba estacionar.
rcparte147.jpg#0	vehículo B colisionó en la parte de atrás al vehículo A que circulaba en el mismo carril.
rcparte147.jpg#1	Mientras el vehículo A circulaba en su carril, vehículo B impactó por la parte trasera
rcparte147.jpg#2	vehículo A circulaba en la misma dirección que vehículo B, vehículo B impactó en la parte trasera de vehículo A.
rcparte148.jpg#0	Vehículo A venía por la izquierda en un cruce e impacta con vehículo B
rcparte148.jpg#1	En un cruce, vehículo B impacta con vehículo A que venía por la izquierda
rcparte148.jpg#2	En una interseccíon colisionan vehículo A y vehículo B
rcparte149.jpg#0	Mientras vehículo A circulaba por una plaza de sentido giratorio, vehículo B ingresaba a la plaza de sentido giratorio e impacta con vehículo A
rcparte149.jpg#1	Vehículo B ingresaba a una plaza de sentido giratorio e impactó a vehículo A que andaba por una plaza de sentido giratorio.
rcparte149.jpg#2	Vehículo B entraba a una plaza de sentido giratorio e impactó a vehículo A que circulaba por una plaza de sentido giratorio.
rcparte150.jpg#0	Vehículo B cambiaba de carril e impacta contra vehículo A.
rcparte150.jpg#1	Vehículo B cambiaba de carril y colisionó con vehículo A. 
rcparte150.jpg#2	Vehículo A circulaba en el mismo sentido y en carril diferente cuando vehículo B impactó mientras cambiaba de carril
rcparte151.jpg#0	vehículo A colisionó en la parte de atrás al vehículo B que circulaba en el mismo carril.
rcparte151.jpg#1	Mientras el vehículo B circulaba en su carril, vehículo A impactó por la parte trasera
rcparte151.jpg#2	vehículo A impactó en la parte trasera de vehículo B
rcparte152.jpg#0	vehículo B giraba a la derecha e impacta con vehículo A en una salida
rcparte152.jpg#1	vehículo A mantenía su carril e impacta con vehículo B que giraba a la derecha en una salida
rcparte152.jpg#2	vehículo A mantenía su carril y colapsa con vehículo B que giraba a la derecha en una salida
rcparte153.jpg#0	Vehículo A colisionó frontalmente con vehículo y B, la calle era doble sentido
rcparte153.jpg#1	Vehículos A iba en sentido inverso a vehículo B e impactan frontalmente.
rcparte153.jpg#2	Impacto frontal entre vehículo A y vehículo  B.
rcparte154.jpg#0	Vehículo A venía por la izquierda en un cruce e impacta con vehículo B que giraba a la derecha
rcparte154.jpg#1	En un cruce, vehículo B, que giraba a la derecha, impacta con vehículo A que venía por la izquierda
rcparte154.jpg#2	En una interseccíon colisionan vehículo A y vehículo B que giraba a la derecha
rcparte155.jpg#0	Vehículo A salía de un estacionamiento e impactó con vehículo B
rcparte155.jpg#1	Vehículo B circulaba por el lado derecho del carril y fue impactado por vehículo A que salía de estacionamiento 
rcparte155.jpg#2	Vehículo A salía de un estacionamiento y colisionó con vehículo B
rcparte156.jpg#0	vehículo A colisionó en la parte de atrás al vehículo B que circulaba en el mismo carril.
rcparte156.jpg#1	Mientras el vehículo B circulaba en su carril, vehículo A impactó por la parte trasera
rcparte156.jpg#2	vehículo A impactó en la parte trasera de vehículo B
rcparte157.jpg#0	Mientras vehículo B circulaba por una plaza de sentido giratorio, vehículo A ingresaba a la plaza de sentido giratorio e impacta con vehículo B
rcparte157.jpg#1	Vehículo A ingresaba a una plaza de sentido giratorio e impactó a vehículo B que andaba por una plaza de sentido giratorio.
rcparte157.jpg#2	Vehículo A entraba a una plaza de sentido giratorio e impactó a vehículo B que circulaba por una plaza de sentido giratorio.
rcparte158.jpg#0	Mientras vehículo A circulaba por una plaza de sentido giratorio, vehículo B ingresaba a la plaza de sentido giratorio e impacta con vehículo A
rcparte158.jpg#1	Vehículo B ingresaba a una plaza de sentido giratorio e impactó a vehículo A que andaba por una plaza de sentido giratorio.
rcparte158.jpg#2	Vehículo B entraba a una plaza de sentido giratorio e impactó a vehículo A que circulaba por una plaza de sentido giratorio.
rcparte159.jpg#0	Vehículo B venía por la derecha en un cruce e impacta con vehículo A
rcparte159.jpg#1	En un cruce, vehículo A impacta con vehículo B que venía por la derecha 
rcparte159.jpg#2	En una interseccíon colisionan vehículo A y vehículo B.
rcparte160.jpg#0	vehículo A colisionó en la parte de atrás al vehículo B que circulaba en el mismo carril.
rcparte160.jpg#1	Mientras el vehículo B circulaba en su carril, vehículo A impactó por la parte trasera
rcparte160.jpg#2	vehículo A impactó en la parte trasera de vehículo B
rcparte161.jpg#0	Vehículo B cambiaba de carril e impacta contra vehículo A.
rcparte161.jpg#1	Vehículo B cambiaba de carril y colisionó con vehículo A. 
rcparte161.jpg#2	Vehículo A circulaba en el mismo sentido y en carril diferente cuando vehículo B impactó mientras cambiaba de carril
rcparte162.jpg#0	vehículo A giraba a la izquierda e impacta con vehículo B en una salida
rcparte162.jpg#1	vehículo B mantenía su carril e impacta con vehículo A que giraba a la izquierda en una salida
rcparte162.jpg#2	vehículo B mantenía su carril y colisiona con vehículo A que giraba a la izquierda en una salida
rcparte163.jpg#0	Vehículo B venía por la izquierda en un cruce e impacta con vehículo A
rcparte163.jpg#1	En un cruce, vehículo A, impacta con vehículo B que venía por la izquierda
rcparte163.jpg#2	En una interseccíon colisionan vehículo A y vehículo B que giraba a la izquierda
rcparte164.jpg#0	Vehículos A y B que conducían en sentido perpendicular colisionan en una intersección de carreteras.
rcparte164.jpg#1	En un cruce, vehículo A, impacta con vehículo B que venía por la izquierda
rcparte164.jpg#2	En una interseccíon colisionan vehículo A y vehículo B que giraba a la izquierda
rcparte165.jpg#0	En una curva vehículo B cambiaba de carril e impacta contra vehículo A.
rcparte165.jpg#1	Vehículo A circulaba por una curva y es impactado por vehículo B cuando cambiaba de carril.
rcparte165.jpg#2	Vehículo B cambiaba de carril en una curva y colisiona contra vehículo A.
rcparte166.jpg#0	Vehículo A venía de la derecha en una entrada mientras que vehículo B impactó al vehículo A
rcparte166.jpg#1	Vehículo A ingresaba por la derecha a la vía principal e impacta con vehículo B, mientras que vehículo B circulaba por su carril.
rcparte166.jpg#2	Vehículo B circulaba por su carril e impactó con vehículo A que ingresaba por la derecha en una entrada
rcparte167.jpg#0	Vehículo A cambiaba de carril e impacta contra vehículo B.
rcparte167.jpg#1	Vehículo A cambiaba de carril y colisionó con vehículo B.
rcparte167.jpg#2	Vehículo B circulaba en el mismo sentido y en carril diferente cuando vehículo A impactó mientras cambiaba de carril
rcparte500.jpg#0	Vehículo B cambiaba de carril mientras vehículo A circulaba en el mismo sentido y en carril diferente.
rcparte500.jpg#1	Vehículo B impactó a vehículo A mientras cambiaba de carril.
rcparte500.jpg#2	Mientras vehículo A circulaba en el mismo sentido, vehículo B cambiaba de carril e impactó con vehículo A
rcparte501.jpg#0	Vehículo A entraba a una plaza de sentido giratorio e impactó a vehículo B que circulaba por una plaza de sentido giratorio.
rcparte501.jpg#1	Vehículo A ingresaba a una plaza de sentido giratorio e impactó a vehículo B que andaba por una plaza de sentido giratorio.
rcparte501.jpg#2	Mientras vehículo B circulaba por una plaza de sentido giratorio, vehículo A ingresaba a la plaza de sentido giratorio e impacta con vehículo B
rcparte502.jpg#0	vehículo B colisionó en la parte de atrás al vehículo A que circulaba en el mismo carril.
rcparte502.jpg#1	Mientras el vehículo A circulaba en su carril, vehículo B impactó por la parte trasera.
rcparte502.jpg#2	Vehículo A circulaba en la misma dirección que vehículo B, vehículo B impactó en la parte trasera de vehículo A.
rcparte503.jpg#0	vehículo B no respetó señal de stop y colisionó con vehículo A en una intersección
rcparte503.jpg#1	vehículo B impactó con vehículo A en una intersección, vehículo B no respetó señal de stop
rcparte503.jpg#2	vehículo A circulaba por su carril mientras que vehículo B, quien no respetó la señal de stop, impactó a vehículo A en una intersección 
rcparte504.jpg#0	Vehículo B venía de la derecha en una entrada mientras que vehículo A impactó al vehículo B
rcparte504.jpg#1	Vehículo A circulaba por su carril e impactó con vehículo B que ingresaba por la derecha en una entrada
rcparte504.jpg#2	Vehículo B ingresaba por la derecha a la vía principal, mientras que vehículo A circulaba por su carril e impacta con vehículo B.
rcparte505.jpg#0	Vehículo A circulaba por una curva, mientras que vehículo B, que se encontraba en el mismo sentido en carril diferente, impactó a Vehículo A 
rcparte505.jpg#1	Vehículo B se encontraba en una curva e impactó a vehículo A.
rcparte505.jpg#2	Vehículo A y vehículo B se encontraban en una curva y vehículo B impactó a vehículo A
rcparte506.jpg#0	Vehículo A impactó a vehículo B en una plaza de sentido giratorio.
rcparte506.jpg#1	Vehículo B circulaba en una plaza de sentido giratorio, cuando el vehículo A lo impactó
rcparte506.jpg#2	Vehículo A y vehículo B circulaban en plaza de sentido giratorio, cuando vehículo A lo impactó por la parte trasera.
rcparte507.jpg#0	Vehículo A impactó a vehículo B en un cruce.
rcparte507.jpg#1	Vehículo A colisionó con vehículo B en una intersección
rcparte507.jpg#2	Vehículo B circulaba por una intersección mientras vehículo A impactó vehículo B al tratar de pasar el mismo cruce.
rcparte508.jpg#0	Vehículo A cambiaba de carril mientras vehículo B circulaba en el mismo sentido y en carril diferente.
rcparte508.jpg#1	Mientras vehículo B circulaba en el mismo sentido, vehículo A cambiaba de carril e impactó con vehículo B
rcparte508.jpg#2	Vehículo A impactó a vehículo B mientras cambiaba de carril
rcparte509.jpg#0	Vehículo B se encontraba en una curva e impactó a vehículo A.
rcparte509.jpg#1	Vehículo B estaba en una curva e impactó a vehículo A.
rcparte509.jpg#2	Vehículo A circulaba por una curva, mientras que vehículo B, que se encontraba en el mismo sentido en carril diferente, impactó a Vehículo A
rcparte510.jpg#0	Vehículo A estaba parado debido a una señal de stop y B impacta con A por detrás
rcparte510.jpg#1	Vehículo B colisiona con vehículo A mientras vehículo A estaba detenido en una señal de stop.
rcparte510.jpg#2	Vehículo A detenido por una señal de stop y B impacta con A por atrás
rcparte511.jpg#0	Vehículo A venía de la derecha en una entrada mientras que vehículo B impactó al vehículo A
rcparte511.jpg#1	Vehículo A circulaba por su carril e impactó con vehículo B que ingresaba por la derecha en una entrada
rcparte511.jpg#2	Vehículo B ingresaba por la derecha a la vía principal e impacta con vehículo A, mientras que vehículo A circulaba por su carril.
rcparte512.jpg#0	Mientras vehículo B circulaba por una plaza de sentido giratorio, vehículo A ingresaba a la plaza de sentido giratorio e impacta con vehículo B
rcparte512.jpg#1	Vehículo A ingresaba a una plaza de sentido giratorio e impactó a vehículo B que andaba por una plaza de sentido giratorio.
rcparte512.jpg#2	Vehículo A entraba a una plaza de sentido giratorio e impactó a vehículo B que circulaba por una plaza de sentido giratorio.
rcparte513.jpg#0	Vehículo A venía de la derecha en una entrada mientras que vehículo B impactó al vehículo A
rcparte513.jpg#1	Vehículo A ingresaba por la derecha a la vía principal e impacta con vehículo B, mientras que vehículo B circulaba por su carril.
rcparte513.jpg#2	Vehículo B circulaba por su carril e impactó con vehículo A que ingresaba por la derecha en una entrada
rcparte514.jpg#0	Vehículo A salía de un estacionamiento e impactó con vehículo B que circulaba por su carril
rcparte514.jpg#1	Vehículo B circulaba por el lado derecho del carril y fue impactado por vehículo A que salía de estacionamiento 
rcparte514.jpg#2	Vehículo A cambiaba de carril al salir de estacionamiento e impactó con vehículo B
rcparte515.jpg#0	Vehículo B invadía la parte reservada a la circulación en sentido inverso e impacta con vehículo A
rcparte515.jpg#1	Vehículo A circulaba por su carril, cuando B invadió el carril contrario y colisionó con vehículo A
rcparte515.jpg#2	En una pista de doble vía, vehículo B invadía la parte reservada a la circulación en sentido inverso e impacta con vehículo A
rcparte516.jpg#0	Vehículo A estaba estacionado cuando vehículo B intentaba estacionar e impactó con vehículo A
rcparte516.jpg#1	Vehículo A estaba estacionado y es impactado por vehículo B que iba a estacionar
rcparte516.jpg#2	En un estacionamiento, vehículo A estaba estacionado y es impactado por vehículo B que intentaba estacionar.
rcparte517.jpg#0	Vehículo A se encontraba en una curva, cambió de carril e impactó a vehículo B
rcparte517.jpg#1	Vehículo A cambió de carril en una curva e impactó a vehículo B
rcparte517.jpg#2	Vehículo B circulaba por una curva, mientras que vehículo a, cambió de carril e impactó a Vehículo B
rcparte518.jpg#0	Vehículo A no respetó la señal de stop e impactó a vehículo B en un cruce.
rcparte518.jpg#1	Vehículo A colisionó con vehículo B en una intersección, vehículo A no respetó la señal de stop
rcparte518.jpg#2	Vehículo B circulaba por una intersección mientras vehículo A impactó vehículo B al no respetar la señal de stop.
rcparte519.jpg#0	Vehículo A se encuentra detenido en estacionamiento y vehículo B impacta por detrás a vehículo A
rcparte519.jpg#1	Vehículo B colisionó con vehículo A mientras estaba detenido en estacionamiento
rcparte519.jpg#2	Vehículo A estaba detenido en estacionamiento cuando vehículo B lo impacta por detrás
